date,time,open,high,low,close,volume
2020-03-03,10:25:00,27865,27890,27860,27870,85413
2020-03-03,10:20:00,27840,27875,27835,27865,108816
2020-03-03,10:15:00,27890,27910,27830,27845,124040
2020-03-03,10:10:00,27965,27995,27885,27890,102908
2020-03-03,10:05:00,28020,28025,27965,27965,52116
2020-03-03,10:00:00,28020,28025,27970,28020,58632
2020-03-03,9:55:00,27975,28020,27970,28010,80779
2020-03-03,9:50:00,27970,28005,27970,27970,79123
2020-03-03,9:45:00,28025,28025,27960,27970,57940
2020-03-03,9:40:00,28010,28030,27975,28020,82203
2020-03-03,9:35:00,27965,28010,27955,28010,52857
2020-03-03,9:30:00,27940,27985,27935,27965,40609
2020-03-03,9:25:00,28015,28020,27935,27940,111487
2020-03-03,9:20:00,27950,28020,27940,28015,136044
2020-03-03,9:15:00,28000,28005,27920,27950,153833
2020-03-03,9:10:00,28035,28055,27985,28000,155585
2020-03-03,9:05:00,28025,28035,27935,28035,289039
2020-03-03,9:00:00,28065,28130,28020,28020,533062
2020-03-02,15:35:00,27450,27450,27450,27450,5371
2020-03-02,15:30:00,27450,27450,27450,27450,178600
2020-03-02,15:15:00,27420,27470,27410,27455,59740
2020-03-02,15:10:00,27380,27420,27375,27420,98717
2020-03-02,15:05:00,27405,27405,27380,27380,70781
2020-03-02,15:00:00,27435,27445,27385,27405,116183
2020-03-02,14:55:00,27440,27460,27430,27440,87249
2020-03-02,14:50:00,27440,27455,27410,27445,115954
2020-03-02,14:45:00,27455,27460,27435,27440,86894
2020-03-02,14:40:00,27485,27500,27455,27460,35083
2020-03-02,14:35:00,27465,27485,27455,27485,69148
2020-03-02,14:30:00,27470,27480,27445,27470,60565
2020-03-02,14:25:00,27450,27475,27435,27475,114364
2020-03-02,14:20:00,27415,27455,27405,27445,107396
2020-03-02,14:15:00,27445,27450,27420,27420,68289
2020-03-02,14:10:00,27460,27475,27440,27440,50559
2020-03-02,14:05:00,27495,27515,27450,27455,28159
2020-03-02,14:00:00,27480,27515,27470,27490,31127
2020-03-02,13:55:00,27505,27505,27465,27480,46830
2020-03-02,13:50:00,27455,27510,27455,27510,60485
2020-03-02,13:45:00,27460,27470,27440,27455,44839
2020-03-02,13:40:00,27435,27485,27435,27445,61285
2020-03-02,13:35:00,27475,27485,27420,27435,52371
2020-03-02,13:30:00,27510,27515,27470,27475,46104
2020-03-02,13:25:00,27550,27565,27490,27510,40940
2020-03-02,13:20:00,27530,27570,27525,27555,42760
2020-03-02,13:15:00,27480,27535,27470,27525,45065
2020-03-02,13:10:00,27490,27495,27445,27490,31613
2020-03-02,13:05:00,27445,27505,27445,27485,39969
2020-03-02,13:00:00,27480,27480,27435,27450,106789
2020-03-02,12:55:00,27485,27490,27455,27485,77310
2020-03-02,12:50:00,27490,27530,27470,27485,41771
2020-03-02,12:45:00,27550,27560,27475,27490,85800
2020-03-02,12:40:00,27600,27615,27550,27550,36368
2020-03-02,12:35:00,27530,27605,27525,27600,123034
2020-03-02,12:30:00,27535,27540,27490,27530,54506
2020-03-02,12:25:00,27550,27575,27530,27535,91204
2020-03-02,12:20:00,27520,27555,27500,27540,27192
2020-03-02,12:15:00,27530,27535,27500,27525,30062
2020-03-02,12:10:00,27565,27585,27520,27530,32298
2020-03-02,12:05:00,27545,27595,27535,27565,58936
2020-03-02,12:00:00,27530,27560,27510,27545,45865
2020-03-02,11:55:00,27580,27590,27530,27530,43213
2020-03-02,11:50:00,27595,27600,27555,27580,102388
2020-03-02,11:45:00,27535,27595,27530,27595,138941
2020-03-02,11:40:00,27510,27545,27505,27530,102067
2020-03-02,11:35:00,27525,27555,27505,27510,120810
2020-03-02,11:30:00,27455,27525,27455,27525,101654
2020-03-02,11:25:00,27470,27500,27450,27460,61910
2020-03-02,11:20:00,27445,27475,27420,27475,46304
2020-03-02,11:15:00,27400,27455,27385,27450,36426
2020-03-02,11:10:00,27355,27405,27350,27400,28154
2020-03-02,11:05:00,27345,27380,27335,27360,48224
2020-03-02,11:00:00,27300,27350,27260,27340,80044
2020-03-02,10:55:00,27355,27355,27285,27305,127570
2020-03-02,10:50:00,27350,27400,27330,27360,138415
2020-03-02,10:45:00,27440,27440,27355,27355,153433
2020-03-02,10:40:00,27415,27510,27415,27445,137919
2020-03-02,10:35:00,27420,27430,27380,27415,77133
2020-03-02,10:30:00,27290,27425,27285,27420,115065
2020-03-02,10:25:00,27275,27315,27255,27290,117191
2020-03-02,10:20:00,27200,27285,27195,27280,150859
2020-03-02,10:15:00,27145,27215,27140,27195,126055
2020-03-02,10:10:00,27155,27185,27140,27145,160012
2020-03-02,10:05:00,27110,27155,27080,27155,67094
2020-03-02,10:00:00,27085,27125,27075,27100,86206
2020-03-02,9:55:00,27040,27100,27020,27090,245643
2020-03-02,9:50:00,27070,27120,27030,27030,150636
2020-03-02,9:45:00,27000,27065,26990,27065,111756
2020-03-02,9:40:00,26985,27025,26980,27000,168739
2020-03-02,9:35:00,27030,27030,26980,26980,101641
2020-03-02,9:30:00,27040,27050,26990,27030,232302
2020-03-02,9:25:00,27175,27175,27040,27040,221364
2020-03-02,9:20:00,27190,27200,27135,27170,74925
2020-03-02,9:15:00,27185,27200,27110,27190,128413
2020-03-02,9:10:00,27315,27315,27180,27190,130574
2020-03-02,9:05:00,27320,27345,27285,27315,114780
2020-03-02,9:00:00,27325,27385,27260,27320,153960
2020-02-28,15:35:00,27190,27190,27190,27190,32956
2020-02-28,15:30:00,27190,27190,27190,27190,322850
2020-02-28,15:15:00,27140,27205,27135,27205,104668
2020-02-28,15:10:00,27175,27185,27135,27140,233479
2020-02-28,15:05:00,27180,27190,27170,27175,256307
2020-02-28,15:00:00,27175,27205,27160,27180,321865
2020-02-28,14:55:00,27165,27180,27145,27180,331172
